target,close_distractor,far_distractor,overlap_diff,close_overlap,far_overlap
tangram-55.jpg,N1.jpg,tangram-143.jpg,0.7794089968003012,0.7794089968003012,0.0
tangram-48.jpg,tangram-187.jpg,D1.jpg,0.6384615384615384,0.6384615384615384,0.0
tangram-67.jpg,tangram-32.jpg,G1.jpg,0.6350011983814801,0.6488002086593636,0.0137990102778835
tangram-164.jpg,tangram-183.jpg,tangram-64.jpg,0.6338588118806906,0.6470372408732343,0.0131784289925437
A2.jpg,tangram-150.jpg,C1.jpg,0.6116279069767442,0.6116279069767442,0.0
H1.jpg,I1.jpg,tangram-8.jpg,0.5288460048050841,0.5524296675191815,0.0235836627140974
V1.jpg,tangram-90.jpg,C2.jpg,0.5278033370138635,0.5495337995337997,0.0217304625199362
Y1.jpg,tangram-142.jpg,tangram-168.jpg,0.51684457095416,0.5391389432485323,0.0222943722943722
B1.jpg,P1.jpg,tangram-4.jpg,0.505230607966457,0.5379874213836477,0.0327568134171907
tangram-81.jpg,tangram-119.jpg,tangram-179.jpg,0.49444444444444446,0.5353535353535354,0.0409090909090909
